,score,date
0,1.6047575480329368,2022-04-01
1,1.6554256187109055,2022-04-02
2,1.8083552439380661,2022-04-03
3,1.8846048673776319,2022-04-04
4,1.873768308921438,2022-04-05
5,1.7098372257607926,2022-04-06
6,1.575330396475771,2022-04-07
7,1.910989010989011,2022-04-08
8,2.08960705104664,2022-04-09
9,1.8724505327245053,2022-04-10
10,1.5848194867333623,2022-04-11
11,1.6355203619909502,2022-04-12
12,1.5624852350578786,2022-04-13
13,1.7368280288847286,2022-04-14
14,1.6748496993987976,2022-04-15
15,1.6444514303678088,2022-04-16
16,1.822314049586777,2022-04-17
17,1.5767925328807806,2022-04-18
18,1.6981355430600769,2022-04-19
19,1.7704824436197546,2022-04-20
20,1.8994307400379506,2022-04-21
21,1.5686168778646536,2022-04-22
22,1.7166450777202074,2022-04-23
23,1.6955739474631162,2022-04-24
24,1.5648236415633938,2022-04-25
25,1.683192261185006,2022-04-26
26,1.7175283732660782,2022-04-27
27,1.6531219028741329,2022-04-28
28,1.4900702719217842,2022-04-29
29,1.4836763662171752,2022-04-30
