,score,date
0,1.6810112963959118,2022-02-01
1,1.6073121191604605,2022-02-02
2,1.7298907646474677,2022-02-03
3,1.7235607405528786,2022-02-04
4,1.764025590551181,2022-02-05
5,1.893537218695903,2022-02-06
6,1.8356795495264908,2022-02-07
7,1.6897179253867152,2022-02-08
8,1.8997342353225417,2022-02-09
9,1.900501253132832,2022-02-10
10,1.7099199611933058,2022-02-11
11,1.6310211946050097,2022-02-12
12,1.78201109235592,2022-02-13
13,1.974787685774947,2022-02-14
14,1.612874251497006,2022-02-15
15,1.8139873725109277,2022-02-16
16,1.6730150214592274,2022-02-17
17,1.6173389209009952,2022-02-18
18,1.3989533011272142,2022-02-19
19,1.4466692337312284,2022-02-20
20,1.581241743725231,2022-02-21
21,1.4459349593495936,2022-02-22
22,1.7541463414634146,2022-02-23
23,1.1578207381370826,2022-02-24
24,1.3791161178509532,2022-02-25
25,1.7161671207992735,2022-02-26
26,1.5119250425894377,2022-02-27
27,1.4898989898989898,2022-02-28
