,score,date
0,2.0745481927710845,2022-01-01
1,2.0364520048602675,2022-01-02
2,2.132537688442211,2022-01-03
3,1.9438790346030823,2022-01-04
4,1.9465149359886202,2022-01-05
5,1.6839280922994366,2022-01-06
6,1.825856246985046,2022-01-07
7,1.6042435424354244,2022-01-08
8,1.8187772925764192,2022-01-09
9,1.6757173711817341,2022-01-10
10,1.8136482939632546,2022-01-11
11,2.0071141354778845,2022-01-12
12,2.032503037667072,2022-01-13
13,2.002658690594882,2022-01-14
14,2.098718914845516,2022-01-15
15,1.933392148213498,2022-01-16
16,1.8891867739052726,2022-01-17
17,1.848137535816619,2022-01-18
18,1.901292596944771,2022-01-19
19,1.8770550393137955,2022-01-20
20,1.450927734375,2022-01-21
21,1.5541635961680176,2022-01-22
22,1.5854616895874263,2022-01-23
23,1.559173126614987,2022-01-24
24,1.5342465753424657,2022-01-25
25,1.716583471991126,2022-01-26
26,1.6710677382319172,2022-01-27
27,1.6899601946041574,2022-01-28
28,1.7377275234418093,2022-01-29
29,1.6704451202654134,2022-01-30
30,1.7067796610169492,2022-01-31
