,score,date
0,1.4734758511480601,2022-06-01
1,1.6209424083769635,2022-06-02
2,1.5201417982597487,2022-06-03
3,1.5604790419161676,2022-06-04
4,1.5572519083969465,2022-06-05
5,1.5340751043115437,2022-06-06
6,1.5028717294192726,2022-06-07
7,1.6967301473230327,2022-06-08
8,1.6268852459016394,2022-06-09
9,1.4616502033701337,2022-06-10
10,1.3729032258064515,2022-06-11
11,1.3533687943262411,2022-06-12
12,1.2784513101290575,2022-06-13
13,1.3190785118495962,2022-06-14
14,1.41862678450034,2022-06-15
15,1.3516542155816436,2022-06-16
16,1.3252254141329418,2022-06-17
17,1.350230974957452,2022-06-18
18,1.358549908955471,2022-06-19
19,1.4234047454503571,2022-06-20
20,1.4442369263607258,2022-06-21
21,1.5723554301833569,2022-06-22
22,1.5369750064416388,2022-06-23
23,1.5023126734505088,2022-06-24
24,1.5366891173342787,2022-06-25
25,1.45413870246085,2022-06-26
26,1.414724275156339,2022-06-27
27,1.4443407960199004,2022-06-28
28,1.4953560371517027,2022-06-29
29,1.3827227993439037,2022-06-30
