,score,date
0,1.4122710218494814,2022-05-01
1,1.6248817407757805,2022-05-02
2,1.8880475932936722,2022-05-03
3,1.8802021403091558,2022-05-04
4,2.08673872923807,2022-05-05
5,2.3630156472261734,2022-05-06
6,2.3217934165720773,2022-05-07
7,2.116179435483871,2022-05-08
8,1.4559471365638768,2022-05-09
9,1.348590917250045,2022-05-10
10,1.2572746628814762,2022-05-11
11,1.302866414277988,2022-05-12
12,1.3120757413361914,2022-05-13
13,1.3680672268907563,2022-05-14
14,1.4897875816993464,2022-05-15
15,1.4913707597698869,2022-05-16
16,1.4759476834404788,2022-05-17
17,1.3098866744822195,2022-05-18
18,1.4969026548672566,2022-05-19
19,1.527608797379504,2022-05-20
20,1.5951128982369316,2022-05-21
21,1.449162333911034,2022-05-22
22,1.5826565365470264,2022-05-23
23,1.4175531914893618,2022-05-24
24,1.5557337610264634,2022-05-25
25,1.5357436318816762,2022-05-26
26,1.6205774705164702,2022-05-27
27,1.4333715158457427,2022-05-28
28,1.4353899883585564,2022-05-29
29,1.528174936921783,2022-05-30
30,1.555653321601408,2022-05-31
